bug_id,product,invovled_tools,invovled_tools_num,commits,modified_tools,modified_tools_num,invovled_tools_modification,is_product_modified,non-involved_modified_tools_num
41894,libraries,compiler-rt|libraries,2,360825,compiler-rt,1,part,False,0
41965,clang,clang|libraries|lldb,3,362584,clang,1,part,True,0
42170,libraries,clang|libraries|lldb,3,362951,libraries,1,part,True,0
42352,clang,clang|libraries,2,364109,clang,1,part,True,0
42368,clang,clang|libraries,2,364157|364189,clang,1,part,True,0
42452,libraries,clang|libraries,2,364729,libraries,1,part,True,0
42575,clang,clang|libraries,2,365902|365905,clang|libraries,2,all,True,0
42665,clang,clang|libc++|libraries,3,366429|366670|366694,clang,1,part,True,0
42711,clang,clang|compiler-rt,2,370204,libraries,1,none,False,1
42729,libraries,libraries|polly,2,365740|366881,libraries,1,part,True,0
42843,clang,clang|compiler-rt|lldb,3,359048|359076|364476|370850|372844,clang,1,part,True,0
43072,clang,clang|libraries,2,370902,clang,1,part,True,0
43082,libraries,compiler-rt|libraries,2,369592,libraries,1,part,True,0
43146,libraries,clang|libraries,2,375025,libraries,1,part,True,0
43407,compiler-rt,compiler-rt|libc++,2,372849,compiler-rt,1,part,True,0
43415,libraries,compiler-rt|libraries,2,372606,libraries,1,part,True,0
43498,clang,clang|libc++|libraries|lldb,4,373418,clang,1,part,True,0
43629,clang,clang|libc++,2,374465,clang,1,part,True,0
4433,libraries,clang|libraries,2,73957,libraries,1,part,True,0
5034,clang,clang|compiler-rt,2,82614,clang,1,part,True,0
5454,clang,clang|libraries,2,86738|86755,clang,1,part,True,0
5589,clang,clang|libraries,2,129673|91545,clang,1,part,True,0
5645,libraries,clang|libraries,2,90272,clang,1,part,False,0
5801,clang,clang|libraries,2,91573,clang,1,part,True,0
5832,clang,clang|libraries,2,91748,clang,1,part,True,0
6587,clang,clang|libraries,2,98360,libraries,1,part,False,0
6623,libraries,clang|libraries,2,105220|105228|98541|98542,clang|libraries,2,all,True,0
6677,clang,clang|libraries,2,99174|99188,clang,1,part,True,0
6681,clang,clang|libraries,2,102686,clang,1,part,True,0
6805,clang,clang|libraries,2,100938,clang,1,part,True,0
7043,clang,clang|libraries,2,103085|111320|111321,libraries,1,part,False,0
7118,clang,clang|libraries,2,107358|107359,clang,1,part,True,0
7355,clang,clang|libraries,2,106111,clang,1,part,True,0
7514,libraries,clang|libraries,2,107071,libraries,1,part,True,0
7713,libraries,clang|compiler-rt|libraries,3,108050|109392|109488|109489,clang|libraries,2,part,True,0
7727,clang,clang|libraries,2,109757,clang,1,part,True,0
7728,clang,clang|libraries,2,109569,clang,1,part,True,0
7845,libraries,clang|libraries,2,110758,libraries,1,part,True,0
8221,clang,clang|libraries,2,115299|115388|116457,clang|libraries,2,all,True,0
8237,libraries,clang|libraries,2,113595|117254|121635,clang|libraries,2,all,True,0
8520,libraries,clang|libraries,2,127724|138213,libraries,1,part,True,0
8559,libraries,clang|libraries,2,118333,libraries,1,part,True,0
8563,libraries,clang|libraries,2,118377,libraries,1,part,True,0
8762,libraries,clang|libraries,2,124078,clang,1,part,False,0
8938,clang,clang|libc++,2,123320,clang,1,part,True,0
8980,libraries,clang|libraries,2,123571,libraries,1,part,True,0
9073,clang,clang|libc++,2,124662,clang,1,part,True,0
9153,libc++,libc++|libraries,2,171316|174733,libc++,1,part,True,0
9262,clang,clang|libraries,2,126541,clang,1,part,True,0
9467,clang,clang|libraries,2,127563,clang,1,part,True,0
9570,clang,clang|libraries,2,129337,clang,1,part,True,0
9763,libc++,clang|libc++|libraries,3,153036,libc++,1,part,True,0
9827,clang,clang|libraries,2,140093,libraries,1,part,False,0
9887,clang,clang|libraries,2,118382,clang,1,part,True,0
9892,libraries,clang|libraries,2,131576,libraries,1,part,True,0
9917,clang,clang|libc++,2,131126|131515|131520,clang,1,part,True,0
9923,clang,clang|libc++,2,131735,clang,1,part,True,0
9925,clang,clang|libc++,2,131126,clang,1,part,True,0
9941,clang,clang|libc++,2,131614|131632|131640|131722,clang,1,part,True,0
9983,clang,clang|libc++,2,132659,clang,1,part,True,0
