bug_id,product,invovled_tools,invovled_tools_num
1586,clang,clang|libraries,2
1991,clang,clang|libraries,2
2049,clang,clang|libraries,2
2063,clang,clang|libraries,2
2249,clang,clang|libraries,2
2308,libraries,clang|libraries,2
2699,clang,clang|libraries,2
2701,clang,clang|libraries,2
2838,clang,clang|libraries,2
3448,clang,clang|libraries,2
3538,clang,clang|libraries,2
3622,clang,clang|libraries,2
3722,clang,clang|libraries,2
3780,clang,clang|libraries,2
4020,libraries,clang|libraries,2
4155,clang,clang|libraries,2
4245,clang,clang|libraries,2
4348,libraries,clang|libraries,2
4433,libraries,clang|libraries,2
4629,libraries,clang|libraries,2
4786,clang,clang|libraries,2
5030,clang,clang|libraries,2
5034,clang,clang|compiler-rt,2
5105,clang,clang|libraries,2
5125,libraries,clang|libraries,2
5194,libraries,clang|libraries,2
5308,clang,clang|libraries,2
5324,clang,clang|compiler-rt,2
5326,clang,clang|compiler-rt,2
5454,clang,clang|libraries,2
5579,clang,clang|libraries,2
5589,clang,clang|libraries,2
5618,libraries,clang|libraries,2
5638,clang,clang|libraries,2
5645,libraries,clang|libraries,2
5801,clang,clang|libraries,2
5832,clang,clang|libraries,2
5956,clang,clang|libraries,2
6068,libraries,clang|compiler-rt|libraries,3
6212,libraries,clang|libraries,2
6308,clang,clang|libraries,2
6310,clang,clang|libraries,2
6587,clang,clang|libraries,2
6623,libraries,clang|libraries,2
6677,clang,clang|libraries,2
6681,clang,clang|libraries,2
6777,compiler-rt,compiler-rt|libraries,2
6805,clang,clang|libraries,2
7043,clang,clang|libraries,2
7118,clang,clang|libraries,2
7253,clang,clang|libraries,2
7355,clang,clang|libraries,2
7495,clang,clang|libraries,2
7514,libraries,clang|libraries,2
7705,clang,clang|libraries,2
7713,libraries,clang|compiler-rt|libraries,3
7727,clang,clang|libraries,2
7728,clang,clang|libraries,2
7729,clang,clang|libraries,2
7730,clang,clang|libraries,2
7731,clang,clang|libraries,2
7732,clang,clang|libraries,2
7733,clang,clang|libraries,2
7734,clang,clang|libraries,2
7845,libraries,clang|libraries,2
7941,clang,clang|libraries,2
7950,clang,clang|libraries,2
8094,libraries,clang|libraries,2
8100,clang,clang|libraries,2
8106,libraries,clang|libraries,2
8121,clang,clang|libc++,2
8197,clang,clang|libraries,2
8221,clang,clang|libraries,2
8237,libraries,clang|libraries,2
8413,clang,clang|lldb,2
8520,libraries,clang|libraries,2
8559,libraries,clang|libraries,2
8563,libraries,clang|libraries,2
8628,libraries,clang|libraries,2
8655,compiler-rt,clang|compiler-rt,2
8676,clang,clang|compiler-rt,2
8704,clang,clang|libraries,2
8707,clang,clang|libraries,2
8719,libraries,clang|libraries,2
8762,libraries,clang|libraries,2
8938,clang,clang|libc++,2
8980,libraries,clang|libraries,2
9073,clang,clang|libc++,2
9105,clang,clang|libc++,2
9152,clang,clang|libraries,2
9153,libc++,libc++|libraries,2
9205,libc++,clang|libc++,2
9262,clang,clang|libraries,2
9306,libraries,clang|libraries,2
9334,libraries,clang|libraries,2
9364,clang,clang|libraries,2
9404,clang,clang|libraries,2
9451,clang,clang|libraries,2
9467,clang,clang|libraries,2
9570,clang,clang|libraries,2
9610,libraries,clang|libraries,2
9750,clang,clang|libraries,2
9753,clang,clang|libraries,2
9763,libc++,clang|libc++|libraries,3
9767,clang,clang|libraries,2
9768,clang,clang|libc++,2
9827,clang,clang|libraries,2
9844,clang,clang|libraries,2
9885,clang,clang|libc++,2
9887,clang,clang|libraries,2
9892,libraries,clang|libraries,2
9917,clang,clang|libc++,2
9923,clang,clang|libc++,2
9925,clang,clang|libc++,2
9941,clang,clang|libc++,2
9942,clang,clang|libc++,2
9975,clang,clang|libc++,2
9983,clang,clang|libc++,2
10067,libraries,clang|libraries,2
10087,clang,clang|libc++,2
10127,clang,clang|libc++,2
10148,clang,clang|libraries,2
10191,libc++,clang|libc++,2
10203,libraries,clang|libraries,2
10217,clang,clang|libc++,2
10232,clang,clang|libraries,2
10245,libc++,clang|libc++,2
10247,polly,libraries|polly,2
10251,libraries,clang|libraries,2
10313,clang,clang|libraries,2
10325,clang,clang|libc++,2
10343,clang,clang|libraries,2
10349,clang,clang|libc++,2
10400,polly,clang|polly,2
10402,clang,clang|libc++,2
10403,clang,clang|libc++,2
10480,clang,clang|libraries,2
10505,clang,clang|libraries,2
10601,libraries,libc++|libraries,2
10619,clang,clang|libraries,2
10630,clang,clang|libc++,2
10635,clang,clang|libraries,2
